City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Clyde River,CA,2022-08-09 23:36:34,70.4692,-68.5914,44.83,70,20,24.16
68,Leningradskiy,RU,2022-08-09 23:36:34,69.3833,178.4167,52.86,56,98,4.7
69,Antigonish,CA,2022-08-09 23:36:35,45.6169,-61.9986,66.15,95,97,1.01
70,Kayerkan,RU,2022-08-09 23:36:35,69.3497,87.7602,48.52,100,49,8.88
71,Belen,TR,2022-08-09 23:36:36,36.4891,36.2233,75.34,61,40,14.97
72,Avarua,CK,2022-08-09 23:36:36,-21.2078,-159.775,78.85,65,75,12.66
73,Codrington,AU,2022-08-09 23:36:36,-38.2667,141.9667,49.44,66,100,12.12
74,Mar Del Plata,AR,2022-08-09 23:36:37,-38.0023,-57.5575,50.09,81,0,5.75
75,Sao Filipe,CV,2022-08-09 23:36:37,14.8961,-24.4956,79.75,84,81,0.63
76,Gejiu,CN,2022-08-09 23:36:38,23.306,103.1635,57.85,90,2,3.42
77,Saint-Philippe,RE,2022-08-09 23:31:55,-21.3585,55.7679,65.79,77,71,16.13
78,Cape Town,ZA,2022-08-09 23:32:25,-33.9258,18.4232,58.1,90,75,11.5
79,Fortuna,US,2022-08-09 23:36:38,40.5982,-124.1573,73.09,64,20,14.97
80,Murgab,TM,2022-08-09 23:36:39,37.4966,61.9714,73.27,46,3,4.61
81,Dingle,PH,2022-08-09 23:33:17,10.9995,122.6711,77.59,89,88,0.43
82,Rawson,AR,2022-08-09 23:35:48,-43.3002,-65.1023,51.08,46,53,4.09
83,Valparaiso,CL,2022-08-09 23:32:20,-33.0393,-71.6273,53.24,76,0,2.3
84,Eskisehir,TR,2022-08-09 23:32:41,39.7767,30.5206,67.87,77,75,11.5
85,Tilichiki,RU,2022-08-09 23:36:40,60.4667,166.1,54.99,80,100,17.43
86,Klyuchi,RU,2022-08-09 23:36:40,52.2667,79.1667,64.08,80,100,5.03
87,Port Elizabeth,ZA,2022-08-09 23:36:41,-33.918,25.5701,58.32,93,0,10.0
88,Hithadhoo,MV,2022-08-09 23:33:23,-0.6,73.0833,81.0,77,29,6.46
89,Yellowknife,CA,2022-08-09 23:32:52,62.456,-114.3525,66.72,52,75,12.66
90,Abha,SA,2022-08-09 23:36:41,18.2164,42.5053,64.22,88,20,9.22
